ID,姓,名,简要,演义,历史,剧本,势力颜色,兵种列表
475,,,袁邵之参谋。,於袁绍压制冀州後，统治冀州。将与曹操进行决战时主张长期战，但未受採用。於官渡之战前反对短期决战，遭打击士气之罪名入狱。袁绍败於官渡之战後，遭逢纪控诉「田豐於狱中大笑」，奉命受处。但自知难逃一死之田豐却早已自尽。荀彧评其「刚直故忤逆上司」。,於曹操与张绣对战之时献上夺回献帝之策，但未受採纳。,,52,0 1 2 29 30 
476,,,曹操之武将。典韦之子。,１９７，为争夺宛城而与张绣对战时，父亲典韦为保护曹操而战亡，典满即被视为亲信而进入曹操宅邸。,於曹丕即位後，受封为都尉。,,52,0 1 2 29 30 
477,,,魏国武将。,２３４年，於吴国响应诸葛亮之第五回北伐，向魏国进攻之时，援助襄阳之守备。,服侍刘备之时，亦受颇高之评價，但因其母高龄之故而返乡。尔後服侍公孙瓒。於公孙瓒灭亡後服侍曹操，历任县令太守政绩斐然。２１８年参与曹彰之乌丸讨伐战，高昇为南阳太守。於曹丕即位後担任防禦北方異民族之任务，因杀乌丸王骨进之故，威名大噪。２３４年，於吴军进攻之时，成为汝南太守负责防卫。历任并州刺史、卫尉。,,52,0 1 2 29 30 
478,,,吴国官僚。滕冑之子。,太常卿。与丞相诸葛恪对立，２５３年，与孙峻共谋讨伐诸葛恪。尔後成为大司马，却遭丞相孙綝所杀。,曾投靠同乡，亦有亲戚关係之刘繇。因其父及孙权亲近之故，於孙权成为吴王後即倍受礼遇迎娶公主为妻。於孙权殁後，奉命遗嘱与诸葛恪共同辅佐次帝·孙亮。尔後当孙綝掌握实权之时，企图欲与吕据一同讨伐孙綝，但因计劃暴露遭杀害。因与诸葛恪为好友，並未协助暗杀诸葛恪。,,52,0 1 2 29 30 
479,,,董和之子。与诸葛亮、蒋琬、费禕並称「蜀国四相」。,於诸葛亮北伐中，与郭攸之、费禕一同负责留守。於诸葛亮殁後，魏延及杨仪发生对立之时支持杨仪。並为说服魏延而前往汉中，但到达之时魏延已遭马岱所杀。,於刘备立刘禅为太子之时，负责担任刘禅之教育。於诸葛亮殁後亦辅佐刘禅，扼阻黄皓等恶臣之抬头。历任辅国大将军、侍中守尚书令等，於好友·费禕成为大将军後，做为其次官担当国政。董允死後，由黄皓掌握政权，致使蜀国迈向灭亡之路。,,52,0 1 2 29 30 
480,,,刘璋之幕僚。尔後服侍刘备。董允之父。,於刘璋麾下任益州太守。蜀国受刘备攻击时，进言邀请张鲁援助。於刘备逼近成都时主张彻底长期抗战，於最後刘璋降服。尔後服侍刘备、辅佐诸葛亮。,东汉末期，率领一族成员移住益州，为刘璋所任用。力行勤俭节约，与異族融合为努力方针，施行良好统治。於刘备平定蜀国後服侍刘备、辅佐诸葛亮。以直言之士获诸葛亮之信赖。,,52,0 1 2 29 30 
481,,,魏国武将。邓忠之父。,以兖州刺史之身参与镇压毌丘俭反叛之战後，接连与姜维之北伐军交战。受共同作战之陈泰之颇高评價，二人结为「忘年之交（超越年龄之交）」。２６３年，奉司马昭之命，与锺会共同挑起蜀国讨伐战。趁锺会於剑阁与姜维交战之时，通过阴平之山道。於绵竹关杀诸葛瞻，並使刘禅投降。但於战後因旧蜀国领地之统治问题与锺会对立。遭冠以谋反嫌疑，於护送洛阳途中遭田续所杀。,受司马懿赏识其才能，实行屯田政策立下功绩。,,45,0 1 2 29 30 
482,,,魏国邓艾之幕僚。,２５８年，於邓艾出征祁山但败於姜维之後，进言亲自潜入蜀国。贿赂蜀帝·刘禅之宠臣宦官·黄皓，故意传放姜维将投降於魏之虚报。自黄皓处得此情报之刘禅唤回前线之姜维，而姜维於往後数年之间，中止北伐。,並无记载。,,52,0 1 2 29 30 
483,,,蜀国幕僚。,於诸葛亮征伐南蛮及北伐时从军，与樊建共同辅佐诸葛亮。尔後成为辅国大将军防守剑阁。於魏国之锺会与邓艾突破阳平关进入蜀国境内後，与姜维、张翼、廖化一同於剑阁抗战。但因成都先遭攻陷之故，而向锺会投降。於刘禅移往洛阳之时，称病拒绝同行，不久後病亡。,蜀国末期，与诸葛瞻、樊建等人一同担任政务。但因无法阻止姜维之远征及黄皓之专横，致使国力日渐疲软。於蜀国灭亡後与樊建共同追随刘禅，移住洛阳。,,52,0 1 2 29 30 
484,,,东汉之徐州刺史。,回应曹操之号召参与讨伐董卓之诸侯之一。１９３年，因部下张闓杀曹操之父·曹嵩之故，导致曹操侵略徐州，因而寻求刘备、孔融之援助。翌年，将後事託付刘备後病故。,与皇甫嵩一同镇压西羌族之反叛。於边章与韩遂举兵之时与张温共同讨伐，却因不服张温指挥而对立。於讨伐黄巾黨时为徐州刺史，因给与迁移至长安之献帝物资上之支援就任徐州牧。与阙宣联合进攻兖州，导致曹操侵略徐州。,,18,0 1 2 29 30 
485,,,蜀国武将。孟达之外甥。尔後为魏国效命。,与因未派遣援军於关羽而险遭处罚之孟达一同对魏国投降。於诸葛亮开始北伐之际，孟达欲向蜀国倒戈之时，与李辅一同通报司马懿。於孟达为司马懿所讨伐後，奉命任上庸之守备工作。,刘璋的武将。於刘备侵略蜀国之时，与张任一同抗战，於绵竹笼城。尔後於刘璋向刘备投降後臣服。尔後与孟达一同移往魏国。２２８年，於孟达为司马懿所包围之时，应司马懿之号召打开城门。,,52,0 1 2 29 30 
486,,,蜀国官僚。汉朝司徒邓禹之么孙。,刘璋之部下。於刘璋向刘备投降後，追随刘备成为尚书。於刘备殁後，受诸葛亮推举为对吴之亲善使者，而与孙权会面。驳倒烧红大锅示威之孙权，缔结和谈合约。於诸葛亮第一回北伐之时辅佐赵雲。尔後参与北伐战役。,东汉末期前往益州，服侍庞羲。於刘备平定益州後，历任广汉太守、尚书。因吴国谈和一事获孙权颇高评價，尔後孙权亦掛心其安危。於诸葛亮殁後就任车骑将军。姜维对其评價颇高。,,52,0 1 2 29 30 
487,,,吴国武将。,２５７年，於魏国之诸葛诞反叛之时，奉孙綝之命派遣援军前往，却遭魏军包围而投降。留滞於吴国之家族遭孙綝杀害。２６３年，於锺会进攻蜀国之时，负责调度登州及莱州（东莱郡）之船舰。,於魏国利城郡之郡民发动叛乱之时，成为首谋者。但败於曹丕之讨伐军，逃往吴国。尔後昇为左将军。２５７年，赶往救援於魏国发动反叛之诸葛诞，却遭魏军逮捕，受司马昭任命为安远将军。留滞吴国之家族平安无事。,,52,0 1 2 29 30 
488,,,吴国武将。身高八尺（１９０cm）。,於孙策进军江东时，因杀严白虎而受孙策任用。於周泰为保护受山贼袭击之孙权而负伤时，推薦华佗为其看病。２０８年，於孙权攻击黄祖时成为甘寧副将从军。於赤壁之战中从汉中袭击曹操之阵营。尔後於合淝战线与魏军对峙。２１５年，於濡须口与徐盛一同指挥水军，但因暴风雨导致船团全毁，战亡。,受孙策任用，讨伐山贼黄龙罗、周勃。於２０８年之黄祖讨伐战中与凌统共同於前锋率领敢死队。,,52,0 1 2 29 30 
489,,,吴国官僚。别名滕循。,於孙皓时代成为司空。於杜预等人率领晋军进攻吴国之时，为孙皓所召集徵求对抗策略。,於孙皓时代成为广州刺史。２７９年，虽受命为司空，但於就任前逢郭马发动反叛，就任广州牧前往讨伐。,,52,0 1 2 29 30 
490,,,吴国武将。,於王濬率领之晋国水军进攻吴都之际，进言欲率领两万名兵力及水军迎击。率领御林军（近卫军）欲进行战鬥。但先锋之张象因部下之士兵逃走之故而投降，並因打开石头城门之故，迎击军尚未作战即遭歼灭。,徐陵督。２７９年，郭马於交州叛变之时前往讨伐。但因晋国大军向吴国进攻之故而自武昌归返。虽率领两万兵力準备迎击，但於出征前士兵逃亡之故，作战未能实行。,,52,0 1 2 29 30 
491,,,车骑将军。灵帝之母董太后外甥。献帝之叔父。於演义中其女为献帝之妃，身为国舅（皇帝之舅）。,於献帝逃離长安前往洛阳之时，击败郭汜军保护献帝。於受曹操救援而成功进入洛阳後，受封为列侯。尔後，由憎恨曹操势力增长之献帝之处，受藏有打倒曹操密令之玉带，即与王子服、吴子兰、马腾、刘备、吉平等人共同讨论计劃。但遭僕人所密告，与其女董贵妃同遭处刑。,虽与杨奉、韩暹、张杨等人共同辅佐逃離长安之献帝，但彼此间互相对立。招致曹操之介入。,,52,0 1 2 29 30 
492,,,魏国官僚。为眉清目秀之有识之人。,於服侍袁绍、张杨後，成为议郎服侍献帝。於曹操拥护献帝後，向曹操进言迁都许昌。２１２年，上奏於献帝请其赐与曹操魏公爵位及九锡。於曹仁遭关羽包围後，提议告知关羽孙权侵略荆州一事，而由背後攻击撤退之关羽。於曹丕时代为大鸿胪、侍中，在曹叡时代成为司徒。,於袁绍毫下之时历任钜鹿太守、魏郡太守。於曹操讨伐袁尚及乌丸之蹋顿之际，挖掘平虏、泉州之两条运河，以海上运输做进行兵粮支援。,,52,0 1 2 29 30 
493,,,事实上，是为毁灭东汉，並导致群雄割据时代之枭雄。,於讨伐黄巾时並无战果，凭藉贿赂十常侍保有地位。於凉州整备军力，趁何进召集诸侯欲剷除宦官之时上洛。於暗杀何进，十常侍瓦解之混乱之中保护少帝。追随最强豪傑·吕布，废立少帝等，掌握权势为所欲为。於遭袁绍及曹操等人之联合军攻击之时，强行迁都长安。因王允之连环计使其为貂蝉一事与吕布对立，遭吕布所杀。,以拥有怪力自豪，擅长骑射。黄巾之乱後，镇压叛乱西羌族表现優異，渐进地不从中央之统治。,,51,0 1 2 29 30 
494,,,魏国武将。邓艾之子。,追随邓艾，与姜维之北伐军作战。２５８年，於长城之战与姜维单挑，但不相上下。２６３年，於锺会与邓艾发起之蜀国讨伐战时，邓艾为先锋踏破阴平山岳。攻陷江油城、涪城，並於绵竹关击败诸葛瞻。虽於不久後向蜀国投降，但因战後之统治策略问题与锺会及邓艾对立。因锺会之计谋致使自身及其父一同为卫瓘所捕。其後，虽锺会为企图自立而遭讨伐，於混乱中自身亦遭卫瓘、田续所杀。,於洛阳之兄弟亦遭处刑。,,52,0 1 2 29 30 
495,,,吴国官僚。,於孙綝废孙亮，立琅邪王·孙休为新皇帝时，与孙楷一同前往虎林迎接孙休。,於孙皓时代成为中书令兼司徒。丞相陆凯临终之际，为孙皓所遣聽取陆凯之遗言。,,52,0 1 2 29 30 
496,,,孟获之部下。第二洞之元帅。,於诸葛亮之南蛮征伐中，遭张嶷袭击被捕。虽与阿会喃一同为诸葛亮所释放而感心服，但奉同样受释放却不服之孟获之命再度出征。於遭马岱斥责寡廉鲜耻後撤退，受孟获棒打之刑，故与阿会喃联手将孟获交於蜀军。孟获再度受释放後，误以为此回孟获已心服口服，而遭孟获之突击，与阿会喃同遭孟获所杀。,並无记载。,,52,0 1 2 29 30 
497,,,晋国武将。,晋国之广武将军。２７９年，於晋国发起吴国讨伐战时，与龙骧将军·王濬共同率领水陆二十多万名士兵，自旧蜀领地沿长江进军。,年少时虽为凭藉腕力之武将，尔後通晓「易经」等经史。於讨伐吴国後，高昇雍州刺史。,,52,0 1 2 29 30 
498,,,董卓之弟。,於董卓掌握政权後奉命任左将军。於董卓中王允之连环计而遭暗杀之际，於郿城之一族人全员受捕，遭处刑。,於何进遭暗杀时，以串通宦官协助暗杀何进之罪名，将何苗（何进之弟）斩首。,,52,0 1 2 29 30 
499,,,黄巾之武将。,程远志之副将。率领五万大兵进攻涿郡，於初战中於刘备军对战。开战不久，与张飞交手，遭蛇矛一刺而死。,並无记载。,,52,0 1 2 29 30 
500,,,魏国官僚。杜恕之父、杜预之祖父。,並无记载。,受荀彧之推薦服侍曹操。於曹操平定河北後，任河东太守。致力於回復农业生产、军事训练、开设学校等，故尔後於河东儒学家辈出。２１１年，於曹操镇压马超及韩遂久叛乱时，兵粮调度全由河东郡负责，故与汉朝之萧何齐名。於魏国建国後历任尚书僕射等职。於曹丕进攻吴国时负责留守。其後，负责指挥建造皇帝之御用座船，於试航中座船翻覆，溺死。,,52,0 1 2 29 30 
501,,,晋国武将。杜畿之孙，杜恕之子。司马懿之婿。,奉羊祜之遗言受任为镇南大将军、都督荆州诸军事。２７９年，指挥吴国讨伐军，连续攻下江陵、武昌。致使吴国投降。对於当时鼓吹慎重论之胡奋说道「若以劈竹般之气势进军，吴国将不战而降」。尔後成为「势如破竹」一语之语源。因喜读「春秋左氏传」，故自称「左传癖」。,因其父之杜恕与司马懿对立之故，政界之参入较晚。於锺会之蜀国讨伐战时以副官参战。其著作有「春秋左氏经传集解」。不擅马术、武术。,,52,0 1 2 29 30 
502,,,蜀国武将。,姜维之副将。２６３年，於锺会及邓艾发起蜀国讨伐战时，与姜维一同於沓中驻紮。於赶往救援之姜维遭诸葛绪阻断退路之时，向姜维进言佯装欲攻雍州，以图能散诸葛绪之注意，而趁隙前往剑阁。,並无记载。,,52,0 1 2 29 30 
503,,,元黄巾之武将。,於黄巾之乱後，与周仓一同成为山贼。２００年，於关羽突破曹操之五道关卡，而欲返刘备旗下之时，与周仓一同向关羽要求盼能成为家臣。但此时仅周仓同行，其他之人则於山中等待。不久後，因欲夺偶然路过之赵雲之马，反遭讨伐。,並无记载。,,52,0 1 2 29 30 
504,,,魏晋官僚。裴潜之子。郭配（郭淮之弟）之婿。,於诸葛诞发起反叛之时，与锺会一同辅佐前往镇压之司马昭。於司马昭正愁於继承者问题时，与贾充、何曾等人共同推举长男司马炎。２６５年，於司马炎成为晋王後与贾充一同胁迫魏帝曹奂让位。,因曹爽一派之何晏受任用之故，因政变致使曹爽一派遭清算後，曾一时遭免职。於晋朝时立案五等级爵位制度，尔後成为司空。亦为著名之地理学者著有「禹贡地域图」。製图法之「製图六體」尔後成为製图之规範。,,52,0 1 2 29 30 
505,,,架空之人物。马腾之女。马超、马休、马铁之妹。有如天仙般美貌及優秀武艺。当马腾、马休、马铁遭曹操之计谋遇害後，追随马超挑发復仇战。败於曹操後，与马超、马岱一同归属刘备军。与於益州攻略战时相识之赵雲结婚，同赵雲於荆州战鬥。,並无记载。,並无记载。根据记载，马腾一族因马超之反叛而遭灭门，於马超死後倖存者仅徒弟马岱一人。,,52,0 1 2 29 30 
506,,,韩遂之武将。,加入马超与韩遂为替遭曹操暗杀之马腾復仇而兴兵之军队。虽攻陷长安、潼关，却於渭水之战中战线陷入胶著状况。因中贾诩之離间计致使马超及韩遂不睦，便协议韩遂一同向曹操投降。但於协议之时为马超所闯入，最先遭到斩杀。,东汉末，於长安以西（关中）割据之军阀之一人。２１１年，曹操故做欲西征之举，即与马超、韩遂等人一同举兵，败北。,,52,0 1 2 29 30 
507,,,马腾之次男。马超之弟。马铁之兄。,追随受讨伐孙权敕令之马腾进许昌。但因马腾及黄奎召开讨伐曹操之秘密会议而事迹败露，故受曹操军包围。虽与马腾一同勇敢奋战，但於最终仍遭受擒拿处刑。得知此事之马超则向曹操挑发復仇战。,与马腾、马铁共同上京，住邺。因其兄马超背叛曹操之故，其父弟全遭处刑。,,52,0 1 2 29 30 
508,,,魏国科学家。亦写为马均。,奉魏帝曹叡之命负责营造宫殿之监督。应期能不老不死之曹叡要求，将西汉武帝於长安所建之承露盘运至洛阳。当时因烈风起故柱倒，牺牲者不在少数。,年轻时虽放荡不羁，但於生计困苦之时改良织布機。使其发明之才能得以激发。於效命魏国後亦有多项发明，献给曹叡指南车、水车、及具機械装置之人偶。並著手於投石车之改良。晋国之傅玄评其为「天下之名巧也」。,,52,0 1 2 29 30 
509,,,黄巾之渠帅（头目）中一人。,並无记载。,１８４年，於张角举兵时，与南阳之张曼成、博陵之张牛角等人同时举兵，统率潁川之反叛军。虽於长社包围皇甫嵩所率领之官军，但因曹操、孙坚、朱儁军之奇袭而战败。,,52,0 1 2 29 30 
510,,,魏国之天水太守。,２２７年，於诸葛亮率领蜀国之北伐军来袭时，採纳姜维之计击退蜀军。但因诸葛亮之计谋，使姜维降於蜀军後无法做彻底抵抗，与而夏侯楙一同抗投靠羌族。,与姜维、梁绪、尹赏、梁虔等人於领地内巡察之时，接获诸葛亮北伐军来袭通报。於聽闻邻近诸郡已响应蜀军之风声，遽变得无法信任姜维等人，故於夜半独自逃亡。因姜维等人追赶而至亦紧闭城门，无路可去之姜维等人故向蜀军投降。,,52,0 1 2 29 30 
511,,,蜀国武将。马良之弟。,於征伐南蛮时提倡「攻下南蛮人之心」，得诸葛亮之信任。自南蛮返国後，因谋反谣言致使司马懿失势，完成北伐之準备。２２８年，虽自願负责街亭之守备，但违反诸葛亮命令故惨败於魏国之张郃。因此场败仗，导致蜀军攻略长安陷入绝望，受诸葛亮之命遭处刑（挥泪斩马谡）。刘备於临终之际，曾留下「不可重用马谡」之遗言予诸葛亮。,防守街亭理应由经验豐富之魏延或吴懿适才适任。於战败後，认同马谡逃亡之向朗失势。,,52,0 1 2 29 30 
512,,,马超之堂兄弟。马腾兄之子。,於与马腾上京时同行，虽曹操军袭击但平安脱逃。向马超传达马腾父子死讯。马超则为向曹操挑发復仇战而从军，转战各地。最终与马超一同成为刘备之部下。尔後，参与诸葛亮之远征南蛮，仅以一招即斩杀忙牙长等，表现優秀。於魏严因北伐作战问题而欲反抗诸葛亮之时，依从诸葛亮之意，成为魏延副将而监视之。於魏延背叛之时，即遵从诸葛亮之遗计杀魏延，继承魏延之爵位。,於杀魏延前，並无成为魏延副将之记载。,,52,0 1 2 29 30 
513,,,吴国潘璋之部下。,２１９年，於吴国进攻荆州之时擒拿关羽父子。因此功绩受赐关羽之坐骑·赤兔马，但赤兔马完全拒食，於不久後饿死。２２２年，於刘备为报关羽之仇而进军荆州之时，前往迎击。於初战击退黄忠，且讨伐主将潘璋、追击关兴，表现傑出，却遭降将糜芳及傅士仁於就寝之际割下首级，供奉於关羽灵前。,除关羽父子外，亦虏获赵累。並无事後之记载。,,52,0 1 2 29 30 
514,,,蜀国武将。别名狐笃。,参与诸葛亮之南蛮征伐。虽连续战鬥表现傑出，但与孟获之妻·祝融夫人战鬥时，与张嶷同遭祝融夫人逮捕。尔後，参与诸葛亮之北伐。,於夷陵刘备败於陆逊後，奉巴西太守阎芝之命前往救援，得刘备赞扬其曰「失之黄权，却得马忠」。尔後，於诸葛亮出征中之时，一方辅佐蒋琬、费禕等人执行政务，另一方则发挥羌族及南蛮等统治外族边境之本领。知晓體恤他人，为人心胸宽大，受異民族之敬爱。尔後高昇为镇南将军。,,52,0 1 2 29 30 
515,,,马腾之长男。马休、马铁之兄。蜀汉五虎将军之一。,於其父及其弟为曹操所谋杀後，与马腾之义兄弟韩遂一同挑发復仇战。连破长安、潼关，於渭水与曹操对阵，但却因中曹操参谋·贾诩之離间计，致使得与韩遂反目而大败。虽夺取冀城並持续抵抗，但失去因中杨阜等之计谋而遭逐出之其妻。尔後，虽於张鲁之旗下与刘备军张飞进行激战，但因李恢之说服加入刘备阵营。另取别名「西凉锦马超」。,虽因警戒曹操征伐汉中之动作而兴兵，败北。因此次叛乱，致使马腾、马休、马铁等人遭处刑。,,13,0 1 2 29 30 
516,,,马腾之三男。马超、马休之弟。,与受命讨伐孙权而被唤至许昌之马腾同行。由马腾及黄奎发起之讨伐曹操之秘密商议，因事迹败露而遭曹操军攻击，乱战中阵亡。得知此事马超盛怒，决定对曹操挑起復仇战。,与马腾、马休共同上京。虽移住至邺，因是由马超发起之反叛之故，一族遭满门抄斩。,,52,0 1 2 29 30 
517,,,凉州军阀之首领之一。马超、马休、马铁之父。,为响应曹操讨伐董卓号召中之一位诸侯。虽参与董承暗杀曹操之计劃，但因事迹败露而逃往西凉。於赤壁之战後，曹操计劃杀马腾以绝後顾之忧。马腾明知曹操计谋却依然上京，与黄奎共谋意图反讨曹操，失败。同行之马休、马铁亦一同被讨。,未加入董卓讨伐军，与韩遂等人共同於朝廷中保持独立之势力。上京後成为卫尉，但却因马超叛乱之故遭连座处刑。,,13,0 1 2 29 30 
518,,,蜀国武将。镇守江油关。,２６３年，由魏国锺会与邓艾发起蜀国讨伐军时，汉中虽已攻陷，但因仅依赖前线之姜维故疏於防备。对由黄皓所掌之蜀国未来感悲观，故毫无做为遭其妻李氏斥责。不久後，穿越阴平山岳之邓艾军来袭，故顺势投降並向邓艾军指示路径。为此而感羞愧不已之李氏自杀。,蜀国守备队长。仅有向穿越阴平逼近江油之邓艾军投降之记录。,,52,0 1 2 29 30 
519,,,蜀国幕僚。马谡之兄。眉色白，人称「白眉」。,於刘备攻下南荆州後，受伊籍之推薦服侍刘备。诸葛亮前往蜀国之时，奉命担任防守荆州关羽之辅佐。於关羽进攻襄阳时从军，负伤之关羽接受华佗治疗之时，担任其下棋之对手。於荆州为吴国之吕蒙所夺之後，与伊籍一同前往成都请求援军，但於期间中关羽已战败身亡。夷陵之战之时追随刘备，败北。於诸葛亮征伐南蛮之时死亡。,与诸葛亮深交，待其识如己兄。於夷陵之战时，虽获武陵之異民族协助表现傑出，战亡。,,52,0 1 2 29 30 
520,,,吴国官僚。,２６４年，於孙休病故後，以嫡男之孙[0xFA][0x44]尚年少为由，主张由孙皓即位。於孙皓即位後成为宰相，却因告诫孙皓施行暴政而惹怒孙皓被杀。,於乌程官员时代，与孙皓有深交。於孙皓即位後成为右丞相，负责守备巴丘。２７１年，於孙皓使民众遭受莫大牺牲，一意孤行巡幸各地时，与丁奉、留平商量返回都城一事。故激怒孙皓被迫饮毒酒，自杀。,,52,0 1 2 29 30 
521,,,蜀国官僚。,於诸葛亮征伐南蛮及北伐之时从军，与董厥一同辅佐诸葛亮。２５６年，阻止於洮水之战获勝，欲继续进军之姜维但遭拒，姜维最後败於邓艾。２６３年，蜀灭亡後，谯周、张绍、郤正等人一同追随刘禅迁往洛阳。,２５１年，成为使者前往吴国，诸葛恪评其为「才识不及预，而雅性超之」。蜀国末期，与诸葛瞻、董厥等人担当政务，与黄皓对立。於蜀国灭亡後，与董厥同往刘禅之洛阳行。,,52,0 1 2 29 30 
522,,,桂阳太守·赵範之兄嫂。美人。,於赵雲奉刘备之命进攻桂阳之时，赵範向赵雲投降。二人立誓结为义兄弟。此时，赵範劝赵雲迎娶未亡人，貌美之兄嫂·樊氏为妻。但赵雲怕伤及刘备军之风评，故拒绝迎娶义兄弟兄嫂为妻。尔後刘备虽再次为赵雲及樊氏媒妁，但赵雲依然不允，刘备赞其为「男人中的男人」。,赵雲因担心赵範並不心服於刘备故拒绝婚事。尔後正如同赵雲所料，赵範逃亡。,,52,0 1 2 29 30 
523,,,关羽之部下。尔後为吴国效命。,荆州之治中。於关羽进攻襄阳之际，为监督糜芳、傅士仁而滞留荆州。此时，王甫对关羽进言「因潘濬不足信任，理应由赵累取代之」。果不其然，吴军进攻荆州之时，潘濬及糜芳、傅士仁一同归属吴国，继续治理荆州。,虽成为东汉官员，未赴任而服侍刘表。於赤壁之战後则服侍刘备，於关羽亡後服侍孙权。昇为少府、太常，与陆逊共同防守荆州。於掌握政权之吕壹施行暴政时，向孙权进言予以处刑。,,52,0 1 2 29 30 
524,,,吴国武将。,孙策殁後受孙权召集。於２０８年讨伐黄祖之时擒获苏飞。尔後，参加赤壁之战、南郡攻略战、合淝攻防战。２１９年，於吕蒙之指挥下进攻荆州，並擒获关羽父子。夷陵之战做先锋迎击蜀军。虽於初战击退黄忠，但因遇关羽亡灵，受关兴报仇时所杀。,於夷陵之战後亦屡建战功，击退进攻南郡之夏侯尚而成为右将军。虽其部下抢夺财物等之不法行为甚多，但以战功赎罪。,,52,0 1 2 29 30 
525,,,董卓之武将。,随董卓前往洛阳，防守虎牢关。於董卓为王允等人讨伐之後，与李傕、郭汜等人共同攻击长安。自王允一派手中夺回献帝，成为右将军。尔後击退进攻长安之马腾及韩遂。当时，因放过同乡之韩遂一事遭李傕之外甥李别密告，故遭李傕所杀。,董卓死後，与李蒙、王方等人一同协助李傕佔领长安。迎击与侍中之马宇等人联手之马腾及韩遂，讨伐了马宇。当时，因与韩遂之会谈内容遭李傕外甥李利之密告，故遭李傕所杀。,,52,0 1 2 29 30 
526,,,扬州刺史·刘繇之武将。,迎击企图侵略江东之孙策。因见同僚于糜遭孙策所捉故袭击孙策，却遭孙策一声大喝下落马，伤头致死。,与于糜一同驻紮於扬子江沿岸之横江津，企图防止袁术与孙策进军江东，败退。虽曾一时夺回遭孙策所夺之据点，於孙策返回後又遭夺取。,,52,0 1 2 29 30 
527,,,韩馥之武将。擅使大斧。,加入反董卓联盟之韩馥军队。於汜水关之战，之袁术之部下俞涉遭华雄讨伐後，奉韩馥命挑战华雄。但立即反遭讨伐。,並无记载。,,52,0 1 2 29 30 
528,,,蜀国官僚。与诸葛亮、蒋琬、董允同称「蜀国四相」。,於服侍刘璋後效命於刘备。於诸葛亮之征伐南蛮时同行，於北伐时则与郭攸之、董允共同负责内政。於诸葛亮殁後平息魏延之叛乱，成为尚书令辅佐大将军蒋琬。於魏国政权为司马懿所握，姜维欲趁乱进行北伐之时反对。,於益州遊学之时刘备平定益州，即跟随刘备。蒋琬殁後就任大将军。２４４年，以少数之兵力击退进攻汉中之曹爽大军。２５３年，於新年之筵席中遭来自魏国之降将郭循暗杀。与董允为好友。,,52,0 1 2 29 30 
529,,,公孙渊之武将。,於公孙渊自魏国独立自封燕王後，受任为元帅。翌年，司马懿攻击而至之时，同杨祚於辽遂设置长达二十里之防卫线。但因司马懿故意做出袭击襄平之举动，发动追击却遭夏侯霸、夏侯威之伏兵，败北。虽一时突破包围与公孙渊会合，但接受夏侯霸之单挑不过数招即遭砍杀。,虽於辽遂设置长达二十里之防卫线以迎击司马懿军，但却遭胡遵等人击破。,,52,0 1 2 29 30 
530,,,蜀国官僚。原为刘璋之部下。,於刘璋向刘备投降後，即为刘备效命。於成为汉中王之刘备将五虎将军头衔封於关羽之时，说服不满与老将黄忠被视为同格之关羽，使其接受册封。尔後於诸葛亮北伐时，与郤正一同受命为秘书，滞留成都。,刘璋部下，绵竹之令。於刘备攻至之时率先臣服。因反对刘备即位皇帝故贬至永昌，但为诸葛亮所重用，亦从军於征伐南蛮。蒋琬掌握政权後，就任谏议大夫。,,52,0 1 2 29 30 
531,,,刘备之第二夫人（第一夫人为甘氏）。糜竺之妹。,於刘备与吕布之争鬥中，与甘氏同遭吕布所掳。於徐州独立之刘备败於曹操後，由关羽陪同投降曹操。尔後，於关羽护卫下突破曹操之五关，终能与刘备再度相逢。２０８年，於长阪坡受到曹操军之袭击、负伤带著年幼刘禅逃走。尔後将刘禅交付前来救援之赵雲，自身则投井自尽。尔後受追封为皇后。,长阪坡之战中为赵雲所拯救之人为甘氏。於蜀之妃子传並无记述，亦无受追封为皇后之记载。,,52,0 1 2 29 30 
532,,,徐州之豪商。刘备之幕僚。糜芳之兄长。将其妹嫁予刘备。,虽服侍於陶谦，但於陶谦死後，使其妹嫁予刘备。尔後，与孙乾一同为流浪各地之刘备，辅佐进行政治及外交。而於刘备进攻益州之时，则辅佐留守於荆州之关羽、平定益州後，受任命为安汉将军。２２０年，於曹丕篡汉登基成为魏帝後，与诸葛亮一同劝说刘备登基即位。,於刘备平定益州後，论席次而言，所受厚遇甚於诸葛亮。尔後於关羽战亡後，原因为其弟·糜芳之背叛所致甚为羞愧，不久後病故。,,52,0 1 2 29 30 
533,,,糜竺之弟。与兄长一同服侍於刘备。,於徐州与吕布及曹操交战，徐州沦陷後，亦同兄长追随刘备。於刘备进入益州後，辅佐留滞荆州之关羽。而於关羽欲进攻襄阳之前，因失火损失物资，故与傅士仁一同遭受处罚。不久後，遭受吴国吕蒙之攻击，同傅士仁投降。２２２年，於刘备进攻荆州之时，手提擒拿关羽之马忠首级，欲返刘备阵营求饶，未受原谅反遭关兴所斩。,於夷陵之战後亦仕官於孙权，２２３年，与贺齐一同讨伐反叛而逃亡魏国之晋宗。,,52,0 1 2 29 30 
